,x,y,z
0,-61.42796837798053,-276.92832699073625,66.81462975225166
1,-61.52542683319014,-275.45633107390915,66.45027871353483
2,-61.63237409299334,-273.8967615151611,66.18836205213407
3,-61.74364059541559,-272.2795431558216,66.00086767405415
4,-61.855924362190905,-270.6234438243162,65.86599734050156
5,-61.967119810230955,-268.9406346491972,65.76714454179054
6,-62.07586584755718,-267.23916766250824,65.69267681793161
7,-62.181290949665005,-265.5245115443937,65.63451528468434
8,-62.282815047341074,-263.8004457726612,65.58719528667758
9,-62.3800740639679,-262.0696189708191,65.54707594764504
10,-62.47283358350781,-260.3339074578313,65.51159459351183
11,-62.56090071419884,-258.59464384387525,65.47906518330386
12,-62.64414575868761,-256.85278102347536,65.44837480791422
13,-62.722463734291125,-255.10900228769881,65.41880177709044
14,-62.79578613228337,-253.3638008123926,65.38984867654202
15,-62.86404762697543,-251.61753271470639,65.36120266392135
16,-62.92721652237577,-249.87045617103524,65.33275850428792
17,-62.985273920690254,-248.12276347345295,65.30426857726783
18,-63.03816644362077,-246.37459492625013,65.27559329550013
19,-63.085855719996225,-244.6260550259378,65.246676238063
20,-63.12829669237708,-242.8772225513153,65.21749607757603
21,-63.16546065341312,-241.12815903198683,65.18802377340619
22,-63.19730874341929,-239.37891264039152,65.15825591920265
23,-63.223827303870685,-237.62952118301766,65.12829310121529
24,-63.245009976236695,-235.88001961448157,65.0980255739546
25,-63.26081191338247,-234.13043679620665,65.0674043187621
26,-63.27120284600943,-232.38079774037888,65.036434285169
27,-63.27615029461701,-230.63112502395413,65.00513404829636
28,-63.275638831473614,-228.88143998724902,64.97350960433081
29,-63.26965036020466,-227.1317626338484,64.94157901585882
30,-63.2581870863315,-225.3821105064691,64.9094465650743
31,-63.24125766360653,-223.63250365863334,64.87703987875487
32,-63.21884373077328,-221.88296116017546,64.84432993549056
33,-63.19093654876152,-220.13350091471392,64.81133400266812
34,-63.15752211033407,-218.38414065526965,64.77807486323186
35,-63.1185978562347,-216.6348981096175,64.74456014214282
36,-63.0741546095844,-214.88579091221155,64.71080573444975
37,-63.02420043131791,-213.13683492320092,64.67689329153484
38,-62.968749126023425,-211.38804853033156,64.64275785506734
39,-62.907790315360614,-209.63945006755446,64.60837233190927
40,-62.841322462336166,-207.89105692900384,64.57374435940767
41,-62.76934031209317,-206.14288649995265,64.53888924687006
42,-62.69184893514431,-204.39495603746488,64.50380774843293
43,-62.60884846013008,-202.64728277725274,64.46851051132224
44,-62.52035363726095,-200.89988193071187,64.4330710296131
45,-62.42638437407152,-199.15277111955714,64.39742360636835
46,-62.326940984400345,-197.40596814485917,64.36154004665961
47,-62.22203115503638,-195.65948970483328,64.32542483924163
48,-62.111659751238754,-193.91335242836718,64.28909100495842
49,-61.995840115917176,-192.16757264426704,64.25253717448989
50,-61.87458172761417,-190.4221666095915,64.21577249208931
51,-61.74790578311931,-188.67714832046863,64.17886878719361
52,-61.61583775649814,-186.93253419396063,64.14175927736122
53,-61.47838753262946,-185.18834085699,64.10441505034709
54,-61.33557085229504,-183.44458369454298,64.06683949752207
55,-61.18740128159916,-181.70127794279028,64.02904499750576
56,-61.033899105960856,-179.95843845166175,63.99102926009964
57,-60.87508162235873,-178.21607992594315,63.952800958832896
58,-60.71097521315636,-176.47421465963077,63.914432506356405
59,-60.54160745212503,-174.73285789263025,63.87584704506923
60,-60.366986395186494,-172.9920256548933,63.83701040538873
61,-60.187125352776825,-171.2517336441811,63.79787727919925
62,-60.00203435063055,-169.51199707384527,63.75843512976307
63,-59.8117328917279,-167.7728309929856,63.71863062331736
64,-59.61624456825623,-166.03424894584754,63.67844960513278
65,-59.41560050028441,-164.29626010831961,63.638020339321805
66,-59.209838594438644,-162.55887966759374,63.59716681183582
67,-58.99899960910462,-160.82211999774404,63.555807489459845
68,-58.7831272043111,-159.08599106281684,63.51393544763378
69,-58.562269203488526,-157.35050127596253,63.471569863034716
70,-58.33647473950347,-155.61565923701534,63.428699330011824
71,-58.105796487200934,-153.8814719619718,63.38534011142799
72,-57.870284492710134,-152.1479425958684,63.341658685549916
73,-57.62999020086826,-150.4150818261176,63.29749711893995
74,-57.38497238550086,-148.68289668627799,63.25278674244206
75,-57.135288009260236,-146.9513920266244,63.2075378780449
76,-56.880996702456216,-145.22057129278014,63.16178073024959
77,-56.622155611765095,-143.49043866590114,63.11551402160194
78,-56.35882508840524,-141.76099673695833,63.06876001642053
79,-56.091059158594376,-140.03224468530206,63.02168471991978
80,-55.81891189451919,-138.30418980727737,62.97413949765892
81,-55.54244775674123,-136.57683506532422,62.92606053857553
82,-55.26172773737683,-134.85018145658438,62.877459872402014
83,-54.976815809915,-133.1242284808396,62.828367923214365
84,-54.68777185647522,-131.39897673034037,62.77878448240649
85,-54.39465963039177,-129.6744250439578,62.7287316102852
86,-54.097534254903415,-127.95056925836758,62.678369226058386
87,-53.79645036028847,-126.22741371691167,62.627554794046496
88,-53.49147596812115,-124.504957680137,62.57622718490308
89,-53.18267448808141,-122.78319866406324,62.524397988947364
90,-52.87011287501654,-121.06213254791301,62.47209647096444
91,-52.55385272739331,-119.34175665175708,62.4193223574154
92,-52.233960288394755,-117.62206634930871,62.36609681876179
93,-51.91049113209367,-115.9030544590735,62.312573640155385
94,-51.583499918948846,-114.1847226564431,62.25861554398548
95,-51.25305758597126,-112.46706674585738,62.20416363547968
96,-50.91922942832539,-110.75008103310005,62.1492289360196
97,-50.582084865740384,-109.03375804208437,62.09383953677511
98,-50.241686792248764,-107.3180921017632,62.037995050859685
99,-49.89810351211783,-105.60307539669293,61.9817157937904
100,-49.55139073973346,-103.88869804394186,61.925149877320735
101,-49.20160288365567,-102.174959343558,61.868164907403404
102,-48.848813407441504,-100.46185191673419,61.81070406675081
103,-48.49308916295347,-98.74936715428692,61.75277789990951
104,-48.13450169843964,-97.03749452219971,61.69441343718022
105,-47.77311492537015,-95.32622566734445,61.63561024938461
106,-47.4089989157877,-93.61554989539195,61.57638788950808
107,-47.04220931926942,-91.90545496401793,61.51688915525766
108,-46.67280009740904,-90.1959381120978,61.45698634803994
109,-46.30084695957525,-88.48698908854055,61.3966246603204
110,-45.926418080444066,-86.77859669715214,61.335814257583365
111,-45.54958689575098,-85.07074767936943,61.27458120370158
112,-45.17041813778269,-83.36343133763938,61.21292510703647
113,-44.7889834379902,-81.65663444180069,61.15086483435602
114,-44.40533824531862,-79.95034275611764,61.088538074735865
115,-44.019535938845536,-78.24455178900335,61.025821776686335
116,-43.63165427397901,-76.53924876027628,60.96266313488318
117,-43.241762587413014,-74.83442024185298,60.89907202314911
118,-42.84993603832103,-73.13005061392637,60.83507360543706
119,-42.45624004906864,-71.42612719496861,60.770667606581206
120,-42.06074767120566,-69.72263458915229,60.70587226223321
121,-41.66351407319311,-68.01955695313781,60.64082020922244
122,-41.26459196294295,-66.31688840642168,60.57539312230539
123,-40.864061007443496,-64.61461400966023,60.50954024497933
124,-40.461991602431596,-62.91271848094154,60.44327123160773
125,-40.05846052471151,-61.2111842290891,60.37661038351071
126,-39.653533805468335,-59.50999696862768,60.309557616098964
127,-39.24728583040162,-57.80913953202161,60.24213056725534
128,-38.83977145069204,-56.10859487143868,60.17445674199475
129,-38.431042649281366,-54.408356066224265,60.10642273632338
130,-38.021180919992865,-52.708406411423354,60.03797993833935
131,-37.61025765920832,-51.008729169479714,59.96913784231766
132,-37.198351203313294,-49.309305190994216,59.899919898150316
133,-36.785528150674324,-47.610118983105785,59.83032628277988
134,-36.3718641764986,-45.911152021878365,59.76037405044346
135,-35.9574138102948,-44.21238647377497,59.69018536979317
136,-35.5422282814983,-42.51381473147627,59.619652055937685
137,-35.12639086438072,-40.815418739263215,59.54872778062649
138,-34.70997393041065,-39.117180720594256,59.47742192516184
139,-34.293057349391226,-37.41908040367082,59.405757075245745
140,-33.87570827096526,-35.72110150070665,59.333733734444195
141,-33.458003643441685,-34.023224567180065,59.26136836850703
142,-33.039997691737966,-32.325431417520534,59.18877749379127
143,-32.621740877919386,-30.62771411492461,59.11585853155985
144,-32.20331823217445,-28.93005368921383,59.04256761353156
145,-31.78480309417853,-27.23243176011849,58.96891403952201
146,-31.36627686101716,-25.534827391431637,58.894919494611536
147,-30.94780723262113,-23.837223928078327,58.82058487064654
148,-30.52947242878612,-22.139601461178195,58.7459260245769
149,-30.11132639680627,-20.44194190141907,58.671053407839324
150,-29.693418823193408,-18.744237342766322,58.59587050999679
151,-29.275836481583017,-17.04646835759237,58.52033613017513
152,-28.8586536821162,-15.348616414903894,58.44445950724898
153,-28.441953351660224,-13.650660393822749,58.3682613702433
154,-28.02580374418405,-11.952583714754475,58.29174304831813
155,-27.610284353231595,-10.254366480933212,58.21491975077324
156,-27.19544887564868,-8.555991161320536,58.13789537238015
157,-26.78134621113526,-6.857450243775041,58.06057999129893
158,-26.368064861914867,-5.158724321572074,57.982935305229375
159,-25.955680106461365,-3.4597951843180885,57.90497049663069
160,-25.54427639768977,-1.7606420285167503,57.82670526399394
161,-25.13392253935426,-0.061248807751586476,57.74814141756432
162,-24.724699291814073,1.6384038661764533,57.66929346834734
163,-24.3166601178293,3.3383324912913563,57.59025820040097
164,-23.909853107988614,5.038543819947698,57.51095283556589
165,-23.504368466031533,6.7390567388840585,57.43134221417186
166,-23.100282422805908,8.43988864938163,57.3514354521293
167,-22.69768093649936,10.141059514335765,57.2712511276019
168,-22.296633338661675,11.842584375175669,57.190791562931686
169,-21.89722162882339,13.544481596066863,57.11007050722411
170,-21.499499030969407,15.246766156915646,57.02917704142958
171,-21.103512785064254,16.9494436821734,56.94803610111503
172,-20.709354743473924,18.652532019290657,56.86661591783417
173,-20.31710204763453,20.356047256039236,56.7849255166213
174,-19.926842112351796,22.060007972437305,56.7029822538136
175,-19.538644748402813,23.76442772125845,56.62078898237042
176,-19.152593137140027,25.469323310961673,56.538358616251834
177,-18.7687402298677,27.174707711840117,56.45577192534446
178,-18.387132349422785,28.88058505177099,56.37296212218204
179,-18.007862908991058,30.586971602041242,56.28990107319688
180,-17.631009884101434,32.293881619804,56.20659767358699
181,-17.25666205949095,34.001331744394435,56.123067947827174
182,-16.88488964087825,35.70933354760024,56.03931528296987
183,-16.515776893088177,37.41790173781085,55.95535167687662
184,-16.14937642174122,39.12704678284557,55.871248989799234
185,-15.785733534765468,40.836770946776596,55.78694923784891
186,-15.424943074861355,42.547088374174244,55.70242814751814
187,-15.067083731760631,44.25801096661691,55.61769443570191
188,-14.712245524197685,45.96955285444049,55.532762683276715
189,-14.360498924118687,47.68172313225476,55.44763679968515
190,-14.011929133772965,49.39453385749445,55.36232778155437
191,-13.666588295106331,51.107992508730554,55.27689801630426
192,-13.32452311884641,52.822097136077915,55.19124884483803
193,-12.985838708915441,54.536859641573514,55.10533373604703
194,-12.650625449317792,56.25227815605147,55.01890301000165
195,-12.3189874529224,57.96835933859125,54.93183712406414
196,-11.991005910975243,59.685098995205266,54.8439066857161
197,-11.666772603033689,61.40250126398914,54.75501950922763
198,-11.34633921956429,63.1205838308919,54.66550153328621
199,-11.029753491343886,64.8393159569006,54.57477245388859
200,-10.717108478364473,66.55869013494636,54.482555029071506
201,-10.408480486851275,68.27868686896055,54.38843791066573
202,-10.103951848214741,69.99930090295857,54.29227159579599
203,-9.803587892332672,71.72050014681008,54.19351875737515
204,-9.5074628332712,73.44227238617135,54.09198888479105
205,-9.215608052273458,75.16466479029326,53.988628148682004
206,-8.928069476666414,76.88758085342539,53.88196020266808
207,-8.6449331349767,78.61097383401913,53.771290159625806
208,-8.366263157672105,80.33482857403895,53.65655521076528
209,-8.092131750684452,82.05914611709332,53.53790304513785
210,-7.822593059590215,83.78391672039227,53.415381002971635
211,-7.557713556733542,85.50914490587977,53.28919094628761
212,-7.297516674034222,87.23490714767213,53.160582734638474
213,-7.0420406440307595,88.96112408124985,53.02866087925723
214,-6.791368315567297,90.68776065368343,52.89306300199065
215,-6.545557038790065,92.41484420608704,52.75429628893504
216,-6.3046768154859265,94.14240065428677,52.61279385912654
217,-6.06877823354571,95.87045131450905,52.4689532474598
218,-5.837927941185877,97.59901566747236,52.32310735760647
219,-5.612155715445545,99.32813863021484,52.175939417647584
220,-5.391491741670436,101.05779202134767,52.027265233334326
221,-5.176017776758027,102.78796633732142,51.87704746383225
222,-4.965796636207681,104.51866532177641,51.725437635739986
223,-4.76090314089613,106.24989387573069,51.57258524862697
224,-4.561391782035569,107.98164713186407,51.41856168058558
225,-4.367331712474817,109.71392360142306,51.263460621348536
226,-4.178755191660692,111.44674186202077,51.1076491636422
227,-3.9956899682661735,113.1800640278659,50.95087332651293
228,-3.818213404632436,114.91387061439589,50.79303138121875
229,-3.646379889882628,116.64815973851569,50.63424948162306
230,-3.480243504292251,118.38292815074121,50.47464220597202
231,-3.319833734441401,120.11820331479329,50.314685829328894
232,-3.1651884339046465,121.85399607140245,50.154668521343716
233,-3.0163207610254075,123.59029017705336,49.99461103909186
234,-2.873233334759143,125.32713821964069,49.8352941914756
235,-2.7359814016726287,127.06456258493344,49.6771312281739
236,-2.6046180704629807,128.80256699832967,49.520347625310166
237,-2.479240705000253,130.5411433191125,49.365010159813984
238,-2.35993126592748,132.2802766211186,49.21113616365411
239,-2.2468091059415998,134.01994726183253,49.05866954058487
240,-2.1399472864693743,135.76009474053313,48.90713090797692
241,-2.0393837867911335,137.50072695265453,48.75685492943625
242,-1.9451870857024125,139.24183537762553,48.60797610552846
243,-1.8573970446502956,140.98340317446895,48.46056243020409
244,-1.7760367198479963,142.72540432501427,48.31458671427959
245,-1.7011133167951291,144.46782440435243,48.17017429337094
246,-1.6326504791991403,146.21063927479457,48.02732635844672
247,-1.570650675798779,147.95378029279996,47.885510013237
248,-1.5151125343135665,149.69727283285903,47.74534845248633
249,-1.4660938287629852,151.4411155036479,47.6071235714704
250,-1.423650755763383,153.18528076117738,47.470807596676245
251,-1.387888515693023,154.92973609826478,47.33629853886934
252,-1.3588952634902787,156.67444586867427,47.20347154718875
253,-1.3368003153501866,158.41937280460772,47.07217932026902
254,-1.321679437358153,160.1644499632411,46.94189907927794
255,-1.3135842093659156,161.90966665326624,46.81286897459617
256,-1.3126323865601246,163.65499967923532,46.685168850924775
257,-1.3189013366883517,165.40041215106675,46.55871151398754
258,-1.332439326929755,167.1458653902344,46.43339101698955
259,-1.3532614556253375,168.89133466443477,46.309299002815585
260,-1.381372313013328,170.63678850007716,46.18643247801937
261,-1.416752487444538,172.38216684041475,46.064373999166506
262,-1.4593859872285107,174.12747827491185,45.94368585772537
263,-1.5093125671760708,175.87270832951162,45.82462791042762
264,-1.5665636518572579,177.61782604950844,45.707232796291876
265,-1.6311956429196315,179.36279338275804,45.59144417882175
266,-1.7032590089895672,181.1075767386385,45.47728233352974
267,-1.7828632158808613,182.85213404341653,45.36468547612814
268,-1.870068094797642,184.59639425303223,45.25312052574708
269,-1.9649272213294522,186.34033838425478,45.14286910121542
270,-2.0676022471757203,188.08392872110002,45.0340330507884
271,-2.1782173600670003,189.82711240721744,44.926471815314486
272,-2.296898404720121,191.56983530734777,44.82004747341936
273,-2.4237177983940548,193.31205059560887,44.71470505055773
274,-2.5587217504380217,195.05371108628242,44.610364286568576
275,-2.701912782108639,196.79475706361524,44.50668397385941
276,-2.853278932213808,198.53517706448483,44.40411364487941
277,-3.0128343213439823,200.27494260410046,44.30286037870266
278,-3.1805953170530286,202.01401458523137,44.202965591691665
279,-3.356642498354072,203.75234271122358,44.104391690246665
280,-3.5410461591703495,205.48987553460537,44.00708367608404
281,-3.733931353996369,207.22655282132982,43.910952976205984
282,-3.935363171074429,208.9623023860537,43.81559854917783
283,-4.14538738092478,210.69708766848416,43.72124072025035
284,-4.364131717100439,212.43085327422116,43.62796056158766
285,-4.591677351728531,214.16354030815626,43.535700505128105
286,-4.828075728096683,215.89509162540932,43.444381594871345
287,-5.073340541791253,217.62546296561914,43.35408549688583
288,-5.327476975360928,219.35460677763456,43.264812781081616
289,-5.590456720623069,221.08246250331007,43.17621483751802
290,-5.862270781157079,222.8090078416857,43.088742689223274
291,-6.143018303431603,224.5341901272816,43.00260354988572
292,-6.432785853125424,226.25794220453926,42.91771346090378
