,x,y,z
361,300,-450,50
362,300,-450,50
363,300,-450,50
364,300,-450,50
365,300,-450,50
366,300,-450,50
367,300,-450,50
368,300,-450,50
369,300,-450,50
370,300,-450,50
371,300,-450,50
372,300,-450,50
373,300,-450,50
374,300,-450,50
375,300,-450,50
376,300,-450,50
377,300,-450,50
378,300,-450,50
379,300,-450,50
380,300,-450,50
381,300,-450,50
382,300,-450,50
383,300,-450,50
384,300,-450,50
385,300,-450,50
386,300,-450,50
387,300,-450,50
388,300,-450,50
389,300,-450,50
390,300,-450,50
391,300,-450,50
392,300,-450,50
393,300,-450,50
394,300,-450,50
395,300,-450,50
396,300,-450,50
397,300,-450,50
398,300,-450,50
399,300,-450,50
400,300,-450,50
401,300,-450,50
402,300,-450,50
403,300,-450,50
404,300,-450,50
405,300,-450,50
406,300,-450,50
407,300,-450,50
408,300,-450,50
409,300,-450,50
410,300,-450,50
411,300,-450,50
412,300,-450,50
413,300,-450,50
414,300,-450,50
415,300,-450,50
416,300,-450,50
417,300,-450,50
418,300,-450,50
419,300,-450,50
420,300,-450,50
421,300,-450,50
422,300,-450,50
423,300,-450,50
424,300,-450,50
425,300,-450,50
426,300,-450,50
427,300,-450,50
428,300,-450,50
429,300,-450,50
430,300,-450,50
431,300,-450,50
432,300,-450,50
433,300,-450,50
434,300,-450,50
435,300,-450,50
436,300,-450,50
437,300,-450,50
438,300,-450,50
439,300,-450,50
440,300,-450,50
441,300,-450,50
442,300,-450,50
443,300,-450,50
444,300,-450,50
445,300,-450,50
446,300,-450,50
447,300,-450,50
448,300,-450,50
449,300,-450,50
450,300,-450,50
451,300,-450,50
452,300,-450,50
453,300,-450,50
454,300,-450,50
455,300,-450,50
456,300,-450,50
457,300,-450,50
458,300,-450,50
459,300,-450,50
460,300,-450,50
461,300,-450,50
462,300,-450,50
463,300,-450,50
464,300,-450,50
465,300,-450,50
466,300,-450,50
467,300,-450,50
468,300,-450,50
469,300,-450,50
470,300,-450,50
471,300,-450,50
472,300,-450,50
473,300,-450,50
474,300,-450,50
475,300,-450,50
476,300,-450,50
477,300,-450,50
478,300,-450,50
479,300,-450,50
480,300,-450,50
481,300,-450,50
482,300,-450,50
483,300,-450,50
484,300,-450,50
485,300,-450,50
486,300,-450,50
487,300,-450,50
488,300,-450,50
489,300,-450,50
490,300,-450,50
491,300,-450,50
492,300,-450,50
493,300,-450,50
494,300,-450,50
495,300,-450,50
496,300,-450,50
497,300,-450,50
498,300,-450,50
499,300,-450,50
500,300,-450,50
501,300,-450,50
502,300,-450,50
503,300,-450,50
504,300,-450,50
505,300,-450,50
506,300,-450,50
507,300,-450,50
508,300,-450,50
509,300,-450,50
510,300,-450,50
511,300,-450,50
512,300,-450,50
513,300,-450,50
514,300,-450,50
515,300,-450,50
516,300,-450,50
517,300,-450,50
