Time (s),Mean MSE,Standard Deviation,SEM,CI,Time (s),Mean MSE,Standard Deviation,SEM,CI,Time (s),Mean MSE,Standard Deviation,SEM,CI
0.0,0.02313677907206951,0.006241937471865028,0.00020051992121893493,0.00039301904558911244,0.0,0.021667092360068307,0.005745981182124989,0.00018458750975294927,0.00036179151911578056,0.0,0.02320842426452205,0.007400616632802804,0.00023774205859479106,0.0004659744348457905
0.1,0.2294947111438881,0.24397975348743975,0.007837758895988898,0.015362007436138239,0.1,0.10971346182966454,0.15044932229004937,0.004833128558083573,0.009472931973843803,0.1,0.16887965889092796,0.166549791273058,0.0053503501397820135,0.010486686273972746
0.2,0.4530042638396116,0.5054057050542333,0.016235970420702496,0.03182250202457689,0.2,0.19505718789225424,0.2974621769637261,0.009555861871291269,0.018729489267730888,0.2,0.31131551813048786,0.33090607101975106,0.010630234537085498,0.020835259692687576
0.30000000000000004,0.6675553347840718,0.7651695509380313,0.024580787418137653,0.048178343339549796,0.30000000000000004,0.26934416597150057,0.4432877797803053,0.014240455159879156,0.027911292113363146,0.30000000000000004,0.46069590730993604,0.49817284785924043,0.01600361757169287,0.031367090440518025
0.4,0.8812074280609169,1.0274419005233404,0.03300618916459852,0.0646921307626131,0.4,0.33747297947105637,0.5726598551585099,0.01839648499511821,0.03605711059043169,0.4,0.5908154063274625,0.6474714480390958,0.020799779609698178,0.04076756803500843
0.5,1.0994296605929634,1.285453826214233,0.041294726377007526,0.08093766369893475,0.5,0.4070761064599198,0.6879975263310325,0.02210166481169516,0.04331926303092251,0.5,0.7192683363024508,0.7888585897412849,0.025341788984717173,0.04966990641004566
0.6000000000000001,1.315052920473757,1.5409450137319107,0.04950228581253477,0.09702448019256814,0.6000000000000001,0.48247139790111165,0.7946441734999049,0.02552764871252015,0.050034191476539494,0.6000000000000001,0.8486109620990337,0.9229951436954682,0.029650875923301276,0.0581157168096705
0.7000000000000001,1.5321656877624708,1.7927076134301785,0.05759006575024167,0.11287652887047367,0.7000000000000001,0.5562923121805221,0.9005834928332926,0.028930909969536768,0.056704583540292064,0.7000000000000001,0.9774996240984151,1.0516037688925874,0.03378238020523964,0.06621346520226969
0.8,1.747185705840164,2.0401845212072454,0.06554016942792812,0.12845873207873912,0.8,0.628282096885693,1.0062656545449555,0.032325910133538346,0.06335878386173516,0.8,1.0997512893307522,1.175622224832857,0.03776642700592097,0.0740221969316051
0.9,1.9598313520917694,2.2831220314830256,0.07334444664813368,0.143755115430342,0.9,0.6977009845217313,1.1125106304675654,0.03573899049487428,0.07004842136995358,0.9,1.2195584983944243,1.291855379682891,0.0415003739027958,0.08134073284947976
1.0,2.1714430065077663,2.5235319818773325,0.08106752694661522,0.15889235281536582,1.0,0.7633574402208837,1.2154412704608526,0.0390455990463857,0.07652937413091597,1.0,1.3340900005484273,1.3984585324562233,0.04492496056233048,0.08805292270216775
1.1,2.3803505557617406,2.7577279906987755,0.08859098668172743,0.17363833389618577,1.1,0.8344318763568402,1.3148191600119148,0.042238076810461885,0.0827866305485053,1.1,1.4472982368059992,1.4996650079727676,0.04817618097088096,0.09442531470292667
1.2000000000000002,2.589782052361198,2.9910542442338883,0.0960865058515455,0.1883295514690292,1.2000000000000002,0.9019161618427124,1.4159146739324002,0.04548573261898227,0.08915203593320524,1.2000000000000002,1.5570818030770253,1.5972979103429006,0.05131260167036379,0.10057269927391303
1.3,2.7992715548323925,3.2241393533787037,0.1035742783474562,0.20300558556101414,1.3,0.9705439342616923,1.5182176542634058,0.04877217783713761,0.09559346856078971,1.3,1.6704479079064445,1.6919794169654419,0.05435420987845905,0.10653425136177973
1.4000000000000001,3.011195366442191,3.4502242650300783,0.11083717210079236,0.21724085731755302,1.4000000000000001,1.0400218967718329,1.6230791591258587,0.05214081470488813,0.10219599682158073,1.4000000000000001,1.7798813308431132,1.7822363168847573,0.05725367924079453,0.11221721131195728
1.5,3.2216653876955994,3.667790381780464,0.11782640273428376,0.23093974935919614,1.5,1.1094435324438454,1.729065142662761,0.055545575032098046,0.10886932706291216,1.5,1.8893491268347926,1.867204114477161,0.05998323815678356,0.11756714678729578
1.6,3.432377249034596,3.886104341353641,0.12483965754049176,0.24468572877936384,1.6,1.180288994393294,1.8389927454112835,0.05907695841142145,0.11579083848638604,1.6,1.9992120678776417,1.9482750460702554,0.06258761170097027,0.12267171893390172
1.7000000000000002,3.643603624348247,4.096219407178588,0.13158952593248338,0.2579154708276674,1.7000000000000002,1.2504291578573912,1.9469103660910514,0.06254377186387602,0.12258579285319701,1.7000000000000002,2.107292543663102,2.0265868855293947,0.06510335043588018,0.12760256685432517
1.8,3.8575102738462257,4.304405521592823,0.13827742747737748,0.27102375785565985,1.8,1.3229761662822754,2.0570410478242125,0.06608167908009854,0.12952009099699313,1.8,2.217588044444011,2.105980668441859,0.06765384620208076,0.13260153855607829
1.9000000000000001,4.0650400005176515,4.5071426623567,0.14479028276908198,0.2837889542274007,1.9000000000000001,1.3943418870744289,2.169051681285356,0.06967997904682355,0.13657275893177415,1.9000000000000001,2.326880268165179,2.1883813705664115,0.07030093813032837,0.1377898387354436
2.0,4.2702173901472005,4.706390958951273,0.1511910602386155,0.29633447806768637,2.0,1.4656577327569842,2.2828484279329495,0.07333565723578314,0.14373788818213495,2.0,2.4344877667592897,2.272749547975467,0.07301123447080006,0.1431020195627681
2.1,4.468939944720484,4.902956259115698,0.15750564744507303,0.30871106899234313,2.1,1.5322942087153888,2.4020980520375863,0.0771665070862711,0.15124635388909136,2.1,2.540082637900034,2.3576943213402877,0.07574005374203586,0.1484505053343903
2.2,4.664524757202252,5.097869981488144,0.16376717832883794,0.32098366952452234,2.2,1.600196920064465,2.522680522701657,0.08104017413707536,0.1588387413086677,2.2,2.6477299230992157,2.4436529032015097,0.07850144123439623,0.1538628248194166
2.3000000000000003,4.856581961270443,5.287321144958325,0.1698532265382452,0.33291232401496057,2.3000000000000003,1.6663496219150402,2.6445490115060792,0.08495515404263854,0.16651210192357152,2.3000000000000003,2.7524282251454766,2.530395485930525,0.08128801446322931,0.15932450834792944
2.4000000000000004,5.051068060939002,5.476891256556746,0.17594309591206034,0.34484846798763824,2.4000000000000004,1.7358299775389967,2.767377248497499,0.08890096550198037,0.17424589238388152,2.4000000000000004,2.8629078493312314,2.6195698392569615,0.08415270741864012,0.16493930654053462
2.5,5.240447625458969,5.664860638734231,0.1819815424482028,0.35668382319847747,2.5,1.8057843814796366,2.890894730580586,0.0928689187037066,0.18202308065926492,2.5,2.9728756813572423,2.712656758698307,0.08714309010623131,0.17080045660821336
2.6,5.431793388254347,5.848427742256656,0.18787856741883371,0.3682419921409141,2.6,1.8734460931815593,3.010816929179707,0.09672137475984076,0.18957389452928788,2.6,3.0783260100675003,2.8048678687319084,0.09010533774212819,0.17660646197457125
2.7,5.619833478377091,6.033961384367724,0.19383876671068234,0.3799239827529374,2.7,1.9395428402138015,3.1297584937992484,0.10054232831387262,0.19706296349519034,2.7,3.1871685250811117,2.8984514123172276,0.0931116742957544,0.18249888161967862
2.8000000000000003,5.810134777465143,6.220210314479381,0.1998219443636846,0.39165101095282184,2.8000000000000003,2.0092852672605477,3.244951224605504,0.1042428519750561,0.20431598987110997,2.8000000000000003,3.2938095984509923,2.9908918750006457,0.09608128980027858,0.188319328008546
2.9000000000000004,6.001980634530209,6.409261262893276,0.20589513581316454,0.4035544661938025,2.9000000000000004,2.0818700164231423,3.3531531452779313,0.10771879845910344,0.21112884497984274,2.9000000000000004,3.4056600438341436,3.0890178267628374,0.09923354952821986,0.19449775707531092
3.0,6.195913793236399,6.601801233405476,0.2120804108007185,0.4156776051694082,3.0,2.1592730732664798,3.455480718659691,0.11100603371987328,0.2175718260909516,3.0,3.5222892980987637,3.1889403032746375,0.10244352194599231,0.2007893030141449
3.1,6.3887898232652125,6.797678742790521,0.21837290298403328,0.4280108898487052,3.1,2.2288913425678145,3.5543521665607414,0.11418224223418204,0.2237971947789968,3.1,3.6414572522450994,3.29231871236863,0.10576451491343267,0.20729844923032803
3.2,6.589269340744131,7.002390611339673,0.2249491956718535,0.44090042351683284,3.2,2.3017622899437074,3.6472842438945223,0.11716765067662097,0.2296485953261771,3.2,3.7645686524207904,3.3981617668448947,0.10916468369769487,0.21396278004748195
3.3000000000000003,6.791003351440829,7.207528440538578,0.23153917218722175,0.45381677748695465,3.3000000000000003,2.3745748367905115,3.735337074352516,0.1199963151267417,0.23519277764841373,3.3000000000000003,3.887292544763285,3.504097655615045,0.11256783474914259,0.22063295610831946
3.4000000000000004,6.992526795484436,7.417325527118061,0.2382788256141425,0.4670264982037193,3.4000000000000004,2.4430317642261845,3.8184204241698594,0.122665336858387,0.2404240602424385,3.4000000000000004,4.0131496788909775,3.6115152006856603,0.11601858345852616,0.22739642357871126
3.5,7.194072754251577,7.627133893355143,0.24501884139587105,0.48023692913590726,3.5,2.5134392539527375,3.8923702105628477,0.1250409462598776,0.2450802546693601,3.5,4.137801474766879,3.7173638106079587,0.11941893070942729,0.2340611041904775
3.6,7.395680019700715,7.840773584054499,0.2518819370518858,0.4936885966216961,3.6,2.5803309422738647,3.957244987548076,0.12712502435723272,0.24916504774017612,3.6,4.261708291311804,3.8248786319232346,0.12287280438201399,0.24083069658874742
3.7,7.596429438326778,8.059533298814115,0.2589095115777755,0.5074626426924399,3.7,2.643479181344669,4.016730266250119,0.12903596682546223,0.25291049497790596,3.7,4.389276552732122,3.933354192401127,0.12635754144310277,0.24766078122848142
3.8000000000000003,7.8019298893679645,8.273974257908375,0.26579834768315314,0.5209647614589802,3.8000000000000003,2.706503001587996,4.0691668325633055,0.1307204720281345,0.25621212517514363,3.8000000000000003,4.51194876460319,4.043730273575938,0.12990333202517582,0.2546105307693446
3.9000000000000004,8.014539136636879,8.488758953241998,0.27269822618745715,0.534488523327416,3.9000000000000004,2.7759606613164,4.114353591753177,0.1321720798716499,0.2590572765484338,3.9000000000000004,4.633437829367388,4.1540244421704955,0.13344649119605428,0.2615551227442664
4.0,8.230198992733259,8.708179324385078,0.27974702405410634,0.5483041671460485,4.0,2.8400003432772394,4.1601067722716705,0.13364188378981423,0.2619380922280359,4.0,4.755356227475321,4.262957592432585,0.1369459281588789,0.2684140191914027
4.1000000000000005,8.457801190579142,8.932374576918352,0.28694921321064065,0.5624204578928557,4.1000000000000005,2.9058485463822152,4.20038460210449,0.13493579410233353,0.2644741564405737,4.1000000000000005,4.88693657984546,4.37894126007808,0.14067186037203977,0.27571684632919796
4.2,8.690115411054128,9.155466930745018,0.29411597215616136,0.5764673054260763,4.2,2.9735056426461153,4.23958552823867,0.13619510928380815,0.26694241419626397,4.2,5.014566612460082,4.490987034796119,0.1442712892385809,0.28277172690761854
4.3,8.932655826725126,9.383679478137744,0.30144721541686786,0.5908365422170611,4.3,3.040009293293107,4.272040165422806,0.13723770244028966,0.2689858967829677,4.3,5.15517316089014,4.606251729220865,0.14797412470426025,0.2900292844203501
4.4,9.179063095433225,9.611751465935942,0.30877394325284474,0.6051969287755756,4.4,3.1048239321958895,4.297604779730506,0.13805895617281716,0.2705955540987216,4.4,5.293340042166726,4.720875202119822,0.15165636116675912,0.2972464678868479
4.5,9.429525266943084,9.842063656202134,0.3161726367604454,0.619698368050473,4.5,3.164463213095536,4.317779963790948,0.138707076461848,0.27186586986522204,4.5,5.4380302977895125,4.838515969966252,0.15543552710794775,0.30465363313157756
4.6000000000000005,9.685704043298667,10.067891302598353,0.3234272659630826,0.6339174412876418,4.6000000000000005,3.2236188614321923,4.330765672742779,0.1391242375352695,0.27268350556912824,4.6000000000000005,5.58861711320822,4.957720383085438,0.15926492457233254,0.31215925216177176
4.7,9.94149171675589,10.291133844269172,0.33059884963727343,0.6479737452890559,4.7,3.2815455971759944,4.347019613895721,0.139646389353383,0.2737069231326307,4.7,5.73271164077007,5.078579355853692,0.16314747415046066,0.3197690493349029
4.800000000000001,10.206938115659108,10.51659679019358,0.33784176297280916,0.6621698554267059,4.800000000000001,3.340067962479853,4.361163177075812,0.1401007460635247,0.27459746228450843,4.800000000000001,5.891509720887582,5.2021161775335765,0.1671160486295457,0.3275474553139096
4.9,10.47969083165582,10.742059588381027,0.3450846715623499,0.6763659562622057,4.9,3.3945849924438267,4.369400251596133,0.14036535902085312,0.27511610368087214,4.9,6.041699441730968,5.3282151982700805,0.17116693280098128,0.3354871882899233
5.0,10.755688604892704,10.95830079867012,0.35203134006822656,0.6899814265337241,5.0,3.450421188211302,4.376774816302334,0.1406022641709891,0.27558043777513863,5.0,6.194214999085059,5.459338243204985,0.1753792118824117,0.34374325528952693
5.1000000000000005,11.032751973252745,11.177872600732053,0.35908500259685855,0.7038066050898427,5.1000000000000005,3.508101296983563,4.388910297377284,0.14099211198988684,0.27634453950017823,5.1000000000000005,6.349031518740146,5.598136693243333,0.1798380604999202,0.3524825985798436
5.2,11.311874457323057,11.398223789881316,0.3661637026459808,0.7176808571861224,5.2,3.571905042590822,4.408079689190794,0.14160792157682772,0.27755152629058233,5.2,6.504872446269171,5.74048496933924,0.18441094596009353,0.3614454540817833
5.300000000000001,11.598528567175553,11.622213897408201,0.3733593015954352,0.7317842311270529,5.300000000000001,3.634442131698311,4.432522826108515,0.14239314826504387,0.279090570599486,5.300000000000001,6.663866884898267,5.888152050648109,0.18915469606078736,0.3707432042791432
5.4,11.899882577171068,11.842962936445986,0.3804507824243494,0.7456835335517248,5.4,3.701776375992854,4.465882609669625,0.14346481891245197,0.28119104506840586,5.4,6.824301372734553,6.040559626773084,0.19405073279545487,0.38033943627909156
5.5,12.214652274378919,12.064616406051531,0.38757131774908526,0.7596397827882071,5.5,3.768807844908512,4.503984036224007,0.14468881307859843,0.2835900736340529,5.5,6.981778536358039,6.193956967667134,0.19897856535544342,0.3899979880966691
5.6000000000000005,12.536397619281262,12.290550791518871,0.3948293759047084,0.7738655767732284,5.6000000000000005,3.84044775553499,4.546057680446328,0.14604041326089448,0.28623920999135316,5.6000000000000005,7.151050294010176,6.350715296823281,0.2040143684141066,0.39986816209164894
5.7,12.861887248973753,12.518350269128163,0.4021473494521559,0.7882088049262256,5.7,3.917056737572564,4.592338012064178,0.14752715171218894,0.28915321735589034,5.7,7.325615204084598,6.516660927070926,0.20934531010550775,0.4103168078067952
5.800000000000001,13.199589115795744,12.741211021423192,0.40930666828455675,0.8022410698377312,5.800000000000001,3.99375364762506,4.646422527433165,0.1492645966657529,0.29255860946487566,5.800000000000001,7.501620675401948,6.686412131116113,0.21479850444066184,0.4210050687036972
5.9,13.548857739525543,12.962803901799797,0.4164252572028333,0.8161935041175532,5.9,4.07616219850381,4.7084766622138865,0.15125806268069225,0.2964658028541568,5.9,7.686660547863119,6.859208711261954,0.22034953035111404,0.4318850794881835
